Dataset,original dim,intrinsic dim_L1,intrinsic dim_L2,No. of instances
Project0155,14,5.438130828907129,3.4310785437717226,46
Project0156,14,4.916596276400894,3.431078543771725,42
Project0157,14,5.438130828907133,5.438130828907133,62
Project0158,14,10.876261657814267,6.20117669405206,55
Project0159,14,5.834342231891138,4.855104802408035,56
Project0160,14,5.438130828907129,4.5356391227770585,43
Project0161,14,6.862157087543441,3.431078543771725,39
Project0162,14,4.855104802408035,5.438130828907129,51
Project0163,14,6.862157087543441,3.4310785437717226,42
Project0164,14,4.675084963762205,3.4310785437717226,28
Project0165,14,6.20117669405206,6.862157087543445,52
Project0166,14,3.4310785437717226,3.4310785437717226,51
Project0167,14,3.9349028806059345,3.4310785437717226,45
Project0168,14,3.827289946755725,3.4310785437717226,52
Project0169,14,5.438130828907133,5.438130828907133,38
Project0170,14,4.5356391227770585,3.4310785437717226,55
Project0171,14,5.729391304020653,5.438130828907133,64
Project0172,14,7.9667176665487816,7.9667176665487816,45
Project0173,14,7.1622489655348005,6.862157087543441,51
Project0174,14,6.862157087543445,6.862157087543445,40
Project0175,14,3.4310785437717226,3.4310785437717226,28
Project0176,14,5.438130828907129,3.4310785437717226,61
Project0177,14,3.4310785437717226,3.4310785437717226,46
Project0178,14,4.729781652885802,3.4310785437717226,56
Project0179,14,6.862157087543441,2.739256929014688,51
Project0180,14,6.862157087543445,5.438130828907133,35
Project0181,14,7.966717666548777,5.438130828907129,51
Project0182,14,5.438130828907133,2.528586837641648,62
Project0183,14,6.862157087543441,6.862157087543441,41
Project0184,14,3.431078543771718,5.438130828907129,42
Project0185,14,4.5356391227770585,4.5356391227770585,52
Project0186,14,5.438130828907129,3.4310785437717226,42
Project0187,14,6.20117669405206,6.862157087543445,64
Project0188,14,4.855104802408035,3.4310785437717226,43
Project0189,14,5.438130828907129,4.5356391227770585,60
Project0190,14,4.855104802408035,3.4310785437717226,59
Project0191,14,4.916596276400892,3.4310785437717226,52
Project0192,14,3.4310785437717226,5.438130828907129,46
Project0193,14,4.675084963762208,6.862157087543441,50
Project0194,14,6.862157087543441,5.438130828907129,61
Project0195,14,6.862157087543441,4.5356391227770585,34
Project0196,14,2.9095439912654855,4.5356391227770585,40
Project0197,14,5.438130828907133,4.333570249901793,49
Project0198,14,5.438130828907133,3.4310785437717226,62
Project0199,14,4.5356391227770585,3.4310785437717226,61
Project0200,14,4.611213109824463,5.438130828907133,49
Project0201,14,4.5356391227770585,5.438130828907133,62
Project0202,14,5.438130828907129,4.014104570270817,58
Project0203,14,5.438130828907136,3.4310785437717226,44
Project0204,14,5.595286885564305,6.20117669405206,62
Project0205,14,9.973769951684192,4.367826441982436,57
Project0206,14,5.438130828907129,3.4310785437717226,51
Project0207,14,5.438130828907129,3.4310785437717226,47
Project0208,14,6.862157087543445,3.4310785437717226,64
Project0209,14,8.869209372678851,3.4310785437717226,54
Project0210,14,6.431450771444777,3.4310785437717226,62
Project0211,14,9.390743925185095,4.014104570270821,42
Project0212,14,4.855104802408035,5.438130828907133,53
Project0213,14,4.815023611756568,5.757596508538105,44
Project0214,14,6.20117669405206,3.4310785437717226,41
Project0215,14,5.438130828907129,5.438130828907133,45
Project0216,14,5.438130828907133,5.834342231891133,49
Project0217,14,4.1941244089166485,2.528586837641648,32
Project0218,14,10.293235631315168,3.4310785437717226,47
Project0219,14,4.729781652885798,5.438130828907129,50
Project0220,14,7.25836849052745,4.5356391227770585,55
Project0221,14,4.855104802408035,3.4310785437717226,51
Project0222,14,3.4310785437717226,3.4310785437717226,40
Project0223,14,6.20117669405206,5.438130828907129,59
Project0224,14,4.3921508152544595,4.194124408916653,60
Project0225,14,4.014104570270821,3.4310785437717226,51
Project0226,14,3.5475545059521827,3.4310785437717226,55
Project0227,14,5.438130828907133,3.4310785437717226,54
Project0228,14,3.4310785437717226,2.528586837641648,35
Project0229,14,5.438130828907133,3.4310785437717226,57
Project0230,14,3.4310785437717226,3.4310785437717226,49
Project0231,14,5.00742451280847,3.4310785437717226,51
Project0232,14,4.855104802408035,3.4310785437717226,39
Project0233,14,4.1941244089166485,5.438130828907129,60
Project0234,14,3.9028639338031295,3.4310785437717226,40
Project0235,14,5.438130828907129,3.4310785437717226,46
Project0236,14,5.007424512808465,4.855104802408035,39
Project0237,14,5.438130828907129,5.438130828907129,47
Project0238,14,5.007424512808465,4.333570249901798,37
Project0239,14,3.7311704217630752,3.4310785437717226,62
Project0240,14,3.827289946755727,3.4310785437717226,58
Project0241,14,4.149729492501986,3.4310785437717226,53
Project0242,14,5.438130828907129,3.431078543771718,39
Project0243,14,6.862157087543441,7.966717666548777,41
Project0244,14,3.431078543771718,3.4310785437717226,39
Project0245,14,7.25836849052745,5.438130828907133,41
Project0246,14,6.862157087543445,5.438130828907129,58
Project0247,14,5.096616115046723,5.438130828907129,58
Project0248,14,6.20117669405206,3.4310785437717226,37
Project0249,14,5.438130828907129,6.862157087543441,42
Project0250,14,5.438130828907133,3.4310785437717226,28
Project0251,14,4.855104802408035,3.4310785437717226,59
Project0252,14,6.862157087543441,4.014104570270821,42
Project0253,14,4.966345438875726,5.438130828907129,50
Project0254,14,5.834342231891135,4.1941244089166485,64
Project0255,14,7.9667176665487816,5.438130828907133,63
Project0256,14,4.19412440891665,6.862157087543445,44
Project0257,14,6.20117669405206,3.4310785437717226,40
Project0258,14,5.959665381413375,3.4310785437717226,59
Project0259,14,12.69649931943458,4.194124408916653,46
Project0260,14,5.438130828907129,3.0003722276730587,60
Project0261,14,4.750890426878765,2.7700981502803366,47
Project0262,14,7.9667176665487816,5.438130828907129,44
Project0263,14,5.438130828907133,3.4310785437717226,44
Project0264,14,6.201176694052055,3.4310785437717226,50
Project0265,14,4.535639122777057,2.705391346521939,46
Project0266,14,9.265420775662855,12.69649931943458,43
Project0267,14,6.431450771444779,4.014104570270817,59
Project0268,14,5.438130828907133,4.424398486309366,57
Project0269,14,6.340622535037204,3.0003722276730587,61
Project0270,14,4.5356391227770585,3.4310785437717226,62
Project0271,14,4.028187083325364,3.4310785437717226,64
Project0272,14,3.827289946755727,3.4310785437717226,53
Project0273,14,5.438130828907133,5.834342231891138,48
Project0274,14,3.4310785437717226,4.5356391227770585,57
Project0275,14,4.675084963762205,3.431078543771718,41
Project0276,14,6.862157087543441,3.4310785437717226,41
Project0277,14,3.5865887151269473,2.5285868376416523,42
Project0278,14,6.862157087543441,5.438130828907129,51
Project0279,14,4.5356391227770585,3.4310785437717226,47
Project0280,14,5.438130828907133,5.438130828907133,55
Project0281,14,5.438130828907133,4.5356391227770585,45
Project0282,14,4.868537646472437,4.5356391227770585,40
Project0283,14,3.4310785437717226,3.4310785437717226,60
Project0284,14,5.438130828907133,5.438130828907133,64
Project0285,14,5.438130828907129,3.4310785437717226,43
Project0286,14,6.862157087543445,3.4310785437717226,48
Project0287,14,3.8617848598703866,3.4310785437717226,54
Project0288,14,6.47624745726837,5.438130828907133,52
Project0289,14,5.61815066755296,3.1481443952639747,55
Project0290,14,6.862157087543441,3.4310785437717226,50
Project0291,14,6.8621570875434434,3.4310785437717226,45
Project0292,14,4.855104802408035,5.438130828907133,63
Project0293,14,7.305737273057392,5.438130828907133,45
Project0294,14,5.438130828907129,3.4310785437717226,58
Project0295,14,6.542691407912465,3.148144395263979,60
Project0296,14,6.431450771444777,5.438130828907133,55
Project0297,14,6.862157087543445,4.5356391227770585,60
Project0298,14,3.4310785437717226,3.4310785437717226,46
Project0299,14,3.4310785437717226,3.4310785437717226,38
Project0300,14,2.9095439912654832,2.528586837641648,33
Project0301,14,5.438130828907133,4.5356391227770585,62
Project0302,14,8.869209372678856,3.651114768497351,28
Project0303,14,7.035859120609231,5.438130828907129,38
Project0304,14,6.862157087543445,5.438130828907129,46
Project0305,14,5.438130828907129,5.438130828907129,47
Project0306,14,5.438130828907133,5.438130828907133,33
Project0307,14,4.5356391227770585,3.6987112890595872,42
Project0308,14,6.862157087543441,3.4310785437717226,24
Project0309,14,7.9667176665487816,4.5356391227770585,46
Project0310,14,3.7311704217630735,5.438130828907133,62
Project0311,14,6.608255280325069,6.374878727117847,54
Project0312,14,6.20117669405206,3.772593257632128,60
Project0313,14,3.4310785437717226,5.438130828907129,56
Project0314,14,4.893626397596207,4.5356391227770585,48
Project0315,14,4.644434711034997,3.827289946755727,54
Project0316,14,5.438130828907133,5.438130828907133,62
Project0317,14,3.827289946755727,3.4310785437717226,62
Project0318,14,6.20117669405206,3.4310785437717226,40
Project0319,14,7.9667176665487816,5.438130828907133,57
Project0320,14,9.632255237823783,9.26542077566286,57
Project0321,14,6.862157087543441,4.855104802408035,56
Project0322,14,7.9667176665487816,6.862157087543445,55
Project0323,14,7.9667176665487816,4.1941244089166485,53
Project0324,14,4.1941244089166485,3.4310785437717226,62
Project0325,14,3.4310785437717226,5.438130828907133,52
Project0326,14,5.438130828907133,5.438130828907133,57
Project0327,14,2.9095439912654855,2.9095439912654855,32
Project0328,14,5.438130828907133,5.438130828907129,44
Project0329,14,6.20117669405206,4.5356391227770585,49
Project0330,14,4.367826441982436,3.4310785437717226,59
Project0331,14,4.675084963762203,5.438130828907133,62
Project0332,14,5.88844113102548,4.014104570270821,41
Project0333,14,3.827289946755727,2.7700981502803366,48
Project0334,14,2.60416082468905,2.7700981502803366,56
Project0335,14,5.438130828907133,3.4310785437717226,36
Project0336,14,3.7725932576321326,5.438130828907133,35
Project0337,14,5.438130828907129,4.014104570270817,44
Project0338,14,3.4310785437717226,6.862157087543441,42
Project0339,14,5.438130828907133,3.4310785437717226,59
Project0340,14,3.4310785437717226,5.438130828907133,38
Project0341,14,5.75759650853811,5.438130828907133,41
Project0342,14,3.4310785437717226,3.4310785437717226,55
Project0343,14,7.9667176665487816,3.4310785437717226,53
Project0344,14,4.1941244089166485,6.862157087543445,43
Project0345,14,7.305737273057395,4.1941244089166485,62
Project0346,14,5.438130828907129,4.194124408916653,51
Project0347,14,6.862157087543441,5.438130828907129,51
Project0348,14,9.26542077566286,5.438130828907133,41
Project0349,14,7.9667176665487816,4.5356391227770585,49
Project0350,14,3.4310785437717226,3.4310785437717226,52
Project0351,14,6.20117669405206,3.4310785437717226,53
Project0352,14,5.438130828907133,4.5356391227770585,44
Project0353,14,5.438130828907133,5.438130828907129,41
Project0354,14,7.625202952688373,4.014104570270821,39
Project0355,14,6.862157087543445,3.4310785437717226,40
Project0356,14,4.5356391227770585,3.4310785437717226,25
Project0357,14,5.438130828907129,3.4310785437717226,61
Project0358,14,2.528586837641648,2.7700981502803366,35
Project0359,14,5.438130828907129,4.194124408916653,51
Project0360,14,3.4310785437717226,5.438130828907129,58
Project0361,14,6.20117669405206,5.438130828907133,64
Project0362,14,4.194124408916653,3.4310785437717226,49
Project0363,14,4.19412440891665,4.855104802408035,24
Project0364,14,2.909543991265481,3.4310785437717226,46
Project0365,14,4.1941244089166485,3.4310785437717226,59
Project0366,14,6.682137248897614,4.1941244089166485,62
Project0367,14,6.20117669405206,5.438130828907129,51
Project0368,14,6.20117669405206,7.9667176665487816,53
Project0369,14,4.5356391227770585,3.4310785437717226,44
Project0370,14,7.966717666548779,6.20117669405206,30
Project0371,14,6.862157087543445,4.050636101394051,46
Project0372,14,3.4310785437717226,2.528586837641648,33
Project0373,14,5.438130828907133,5.438130828907133,64
Project0374,14,4.3921508152544595,3.4310785437717226,55
Project0375,14,3.803434478897781,3.4310785437717226,51
Project0376,14,4.5356391227770585,3.4310785437717226,52
Project0377,14,4.5356391227770585,6.862157087543441,50
Project0378,14,6.862157087543445,5.438130828907133,48
Project0379,14,4.392150815254461,4.535639122777054,44
Project0380,14,5.155196680399388,5.438130828907129,60
Project0381,14,4.855104802408035,4.1941244089166485,41
Project0382,14,5.438130828907133,3.4310785437717226,32
Project0383,14,8.869209372678856,5.438130828907133,48
Project0384,14,4.5356391227770585,4.855104802408035,59
Project0385,14,3.607883052652014,5.438130828907133,59
Project0386,14,5.438130828907133,5.438130828907133,30
Project0387,14,6.862157087543441,3.4310785437717226,27
Project0388,14,5.757596508538105,4.535639122777054,44
Project0389,14,3.4310785437717226,3.4310785437717226,60
Project0390,14,5.438130828907133,3.4310785437717226,62
Project0391,14,8.438503056580188,4.5356391227770585,63
Project0392,14,5.438130828907133,4.1941244089166485,62
Project0393,14,4.333570249901798,3.4310785437717226,41
Project0394,14,4.5356391227770585,4.5356391227770585,45
Project0395,14,3.772593257632128,3.431078543771718,51
Project0396,14,7.9667176665487816,4.5356391227770585,50
Project0397,14,6.862157087543441,3.4310785437717226,41
Project0398,14,5.438130828907133,4.5356391227770585,62
Project0399,14,6.495322625382522,4.014104570270821,53
Project0400,14,4.750890426878765,3.4310785437717226,41
Project0401,14,7.9667176665487816,3.9028639338031295,54
Project0402,14,5.438130828907133,3.4310785437717226,55
Project0403,14,8.869209372678856,3.4310785437717226,62
Project0404,14,3.4310785437717226,3.4310785437717226,55
Project0405,14,4.301737342766859,5.438130828907129,42
Project0406,14,3.7725932576321304,5.007424512808465,36
Project0407,14,7.445183114042542,3.4310785437717226,40
Project0408,14,7.9667176665487816,6.862157087543445,57
Project0409,14,5.438130828907133,3.4310785437717226,36
Project0410,14,4.535639122777063,5.438130828907129,39
Project0411,14,4.333570249901798,5.438130828907133,55
Project0412,14,3.4310785437717226,3.4310785437717226,45
Project0413,14,8.869209372678856,7.162248965534796,62
Project0414,14,4.194124408916647,5.438130828907133,26
Project0415,14,5.438130828907133,2.0070522851354107,48
Project0416,14,4.5356391227770585,5.007424512808465,39
Project0417,14,6.862157087543441,5.438130828907133,41
Project0418,14,3.547554505952185,4.5356391227770585,52
Project0419,14,3.4310785437717226,5.438130828907129,58
Project0420,14,9.632255237823783,2.237326362528131,45
Project0421,14,4.611213109824461,2.5680292774050733,63
Project0422,14,3.4310785437717226,3.4310785437717226,53
Project0423,14,4.1941244089166485,6.862157087543441,31
Project0424,14,6.862157087543445,2.7700981502803366,40
Project0425,14,6.862157087543445,5.438130828907133,52
Project0426,14,4.5356391227770585,3.4310785437717226,42
Project0427,14,5.438130828907129,2.909543991265481,43
Project0428,14,5.438130828907133,3.4310785437717226,45
Project0429,14,3.4310785437717226,5.438130828907133,48
Project0430,14,3.9028639338031295,4.855104802408035,51
Project0431,14,6.862157087543445,3.4310785437717226,35
Project0432,14,3.4310785437717226,3.4310785437717226,28
Project0433,14,2.6680326786267967,6.862157087543445,48
Project0434,14,6.862157087543445,3.4310785437717226,46
Project0435,14,6.431450771444777,6.862157087543445,48
Project0436,14,3.4310785437717226,3.4310785437717226,57
Project0437,14,6.862157087543445,5.438130828907129,47
Project0438,14,5.438130828907129,3.431078543771718,31
Project0439,14,6.862157087543445,5.438130828907133,63
Project0440,14,5.438130828907133,3.4310785437717226,25
Project0441,14,6.20117669405206,4.5356391227770585,58
Project0442,14,7.25836849052745,6.20117669405206,57
Project0443,14,3.4310785437717226,5.438130828907129,54
Project0444,14,2.7700981502803366,5.438130828907133,57
Project0445,14,5.438130828907133,8.869209372678856,45
Project0446,14,5.438130828907133,3.4310785437717226,48
Project0447,14,5.438130828907129,3.4310785437717226,47
Project0448,14,6.862157087543445,4.014104570270821,57
Project0449,14,3.4310785437717226,3.4310785437717226,52
Project0450,14,7.9667176665487816,5.438130828907133,55
Project0451,14,6.340622535037208,6.862157087543445,48
Project0452,14,3.5291015488878124,3.4310785437717226,56
Project0453,14,5.438130828907133,5.438130828907133,45
Project0454,14,3.4310785437717226,5.438130828907133,38
Project0455,14,4.37680196574713,3.4310785437717226,56
Project0456,14,5.438130828907133,4.014104570270817,26
Project0457,14,5.438130828907129,5.438130828907129,47
Project0458,14,6.862157087543445,5.438130828907129,44
Project0459,14,6.20117669405206,3.4310785437717226,48
Project0460,14,3.7211196568886846,3.4310785437717226,55
Project0461,14,8.586275224171107,7.44518311404254,43
Project0462,14,4.444810886369485,3.4310785437717226,61
Project0463,14,4.5356391227770585,3.4310785437717226,60
Project0464,14,7.966717666548779,4.855104802408035,43
Project0465,14,5.757596508538105,3.827289946755727,46
Project0466,14,5.438130828907129,3.4310785437717226,41
Project0467,14,6.20117669405206,3.4310785437717226,49
Project0468,14,3.4310785437717226,3.4310785437717226,51
Project0469,14,3.4310785437717226,4.5356391227770585,49
Project0470,14,4.5356391227770585,3.4310785437717226,50
Project0471,14,6.862157087543445,3.4310785437717226,52
Project0472,14,4.4588933994240305,3.4310785437717226,62
Project0473,14,6.20117669405206,2.3265179647663867,55
Project0474,14,5.75759650853811,3.4310785437717226,55
Project0475,14,8.869209372678851,5.438130828907129,44
Project0476,14,5.438130828907129,6.862157087543441,50
Project0477,14,8.438503056580188,3.4310785437717226,62
Project0478,14,5.791852700618748,4.014104570270821,41
Project0479,14,3.4310785437717226,3.4310785437717226,38
Project0480,14,4.1941244089166485,6.20117669405206,41
Project0481,14,6.862157087543441,5.438130828907129,42
Project0482,14,5.888441131025477,3.4310785437717226,47
Project0483,14,6.20117669405206,3.4310785437717226,61
Project0484,14,4.855104802408035,4.5356391227770585,57
Project0485,14,4.5356391227770585,3.4310785437717226,35
Project0486,14,3.4310785437717226,3.4310785437717226,57
Project0487,14,4.1941244089166485,4.014104570270821,53
Project0488,14,5.438130828907129,3.4310785437717226,50
Project0489,14,3.5533069760940603,3.4310785437717226,37
Project0490,14,3.4310785437717226,3.4310785437717226,58
Project0491,14,5.438130828907133,5.438130828907133,49
Project0492,14,3.9788731048149417,3.0003722276730542,56
Project0493,14,5.438130828907129,5.438130828907129,42
Project0494,14,4.5356391227770585,3.4310785437717226,47
Project0495,14,3.4310785437717226,4.5356391227770585,38
Project0496,14,3.089563829911315,3.4310785437717226,44
Project0497,14,7.25836849052745,3.4310785437717226,51
Project0498,14,3.4310785437717226,3.4310785437717226,48
Project0499,14,5.438130828907129,3.4310785437717226,60
Project0500,14,5.438130828907129,6.862157087543441,42
Project0501,14,3.4310785437717226,3.4310785437717226,38
Project0502,14,11.397796210320504,3.4310785437717226,59
Project0503,14,5.438130828907129,5.438130828907129,60
Project0504,14,7.9667176665487816,4.729781652885802,55
Project0505,14,6.05768838652946,3.827289946755727,58
Project0506,14,11.86958160035191,5.757596508538105,59
Project0507,14,3.4310785437717226,3.4310785437717226,55
Project0508,14,3.4310785437717226,3.4310785437717226,42
Project0509,14,4.333570249901793,5.438130828907129,44
Project0510,14,3.4310785437717226,3.4310785437717226,40
Project0511,14,4.07966844268342,3.431078543771725,55
Project0512,14,5.438130828907133,3.9028639338031295,64
Project0513,14,6.20117669405206,2.528586837641648,48
Project0514,14,5.438130828907133,5.438130828907133,38
Project0515,14,3.827289946755727,3.4310785437717226,54
Project0516,14,3.633147416646988,3.827289946755727,59
Project0517,14,7.9667176665487816,3.4310785437717226,54
Project0518,14,6.862157087543445,3.4310785437717226,52
Project0519,14,4.855104802408035,3.4310785437717226,61
Project0520,14,5.438130828907133,4.1941244089166485,55
Project0521,14,4.444810886369485,3.4310785437717226,57
Project0522,14,3.4310785437717226,3.4310785437717226,61
Project0523,14,5.438130828907129,7.9667176665487816,58
Project0524,14,9.632255237823783,6.862157087543445,49
Project0525,14,9.973769951684192,6.862157087543445,41
Project0526,14,4.5356391227770585,7.9667176665487816,44
Project0527,14,2.4603098930865865,3.4310785437717226,47
Project0528,14,5.007424512808465,4.5356391227770585,60
Project0529,14,6.862157087543445,3.4310785437717226,52
Project0530,14,6.862157087543441,5.438130828907129,54
Project0531,14,6.862157087543441,3.4310785437717226,51
Project0532,14,5.95966538141337,5.438130828907129,56
Project0533,14,5.438130828907129,4.5356391227770585,51
Project0534,14,6.862157087543445,3.4310785437717226,52
Project0535,14,5.438130828907133,5.438130828907133,45
Project0536,14,5.438130828907133,3.9028639338031295,38
Project0537,14,4.161876737861742,2.8760979180742274,60
Project0538,14,4.1941244089166485,6.862157087543445,52
Project0539,14,3.4310785437717226,5.438130828907129,51
